Hour,Beam Irradiance (W/m^2),Diffuse Irradiance (W/m^2),Plane of Array Irradiance (W/m^2),AC System Output (W),Ambient Temperature (C),Wind Speed (m/s),Cell Temperature (C)
0,0,0,0,0,11.421,2,11.421
1,0,0,0,0,10.934,2,10.934
2,0,0,0,0,10.534,2,10.534
3,0,0,0,0,10.249,1,10.249
4,0,0,0,0,10.111,1,10.111
5,0,0,0,0,10.876,2,10.876
6,0,0,0,0,12.116,2,12.116
7,251,89,218.566,706.452,15.477,2,19.535
8,519,142,507.156,1588.904,18.724,1,33.544
9,640,176,718.839,2157.537,21.854,1,43.956
10,703,195,850.955,2478.492,23.578,1,50.091
11,729,203,899.706,2582.843,24.559,1,52.831
12,723,201,861.681,2478.81,24.927,1,52.332
13,685,190,744.638,2176.721,24.634,1,48.722
14,606,167,562.221,1679.23,23.606,1,42.161
15,461,128,338.424,1026.407,21.682,2,30.828
16,67,61,99.536,307.724,18.602,2,20.622
17,0,0,0,0,17.308,2,17.308
18,0,0,0,0,16.443,2,16.443
19,0,0,0,0,15.642,2,15.642
20,0,0,0,0,14.965,2,14.965
21,0,0,0,0,14.37,3,14.37
22,0,0,0,0,13.824,3,13.824
23,0,0,0,0,13.33,3,13.33
0,0,0,0,0,12.888,3,12.888
1,0,0,0,0,12.496,3,12.496
2,0,0,0,0,12.021,3,12.021
3,0,0,0,0,11.544,3,11.544
4,0,0,0,0,11.133,3,11.133
5,0,0,0,0,10.773,3,10.773
6,0,0,0,0,11.89,2,11.89
7,181,92,189.11,615.937,15.129,2,18.376
8,498,150,501.879,1575.959,18.606,1,33.137
9,641,173,716.225,2192.777,21.425,2,40.06
10,705,195,852.806,2543.701,22.953,2,45.55
11,720,202,891.05,2628.113,23.867,2,47.747
12,726,202,866.154,2556.91,24.082,2,47.455
13,689,191,749.794,2245.083,23.662,2,44.129
14,611,168,567.435,1729.942,22.567,2,38.166
15,468,129,343.272,1046.429,20.607,2,29.9
16,53,61,96.646,302.477,17.521,2,19.463
17,0,0,0,0,16.087,2,16.087
18,0,0,0,0,15.203,2,15.203
19,0,0,0,0,14.403,2,14.403
20,0,0,0,0,13.699,2,13.699
21,0,0,0,0,13.062,3,13.062
22,0,0,0,0,12.449,3,12.449
23,0,0,0,0,11.877,3,11.877
0,0,0,0,0,11.349,3,11.349
